# Fan-register map derived from NoteBook FanControl (nbfc-linux, GPL-3.0) config data.
# Facts only (model -> EC read register + value range); regenerated by native/PawnIO fan-db gen.
# Columns: NotebookModel<TAB>ReadRegisterHex<TAB>MinRead<TAB>MaxRead<TAB>Word(0|1)
Gigabyte Aero 15x v8	0xB0	0	229	0
Gigabyte	0xB3	0	229	0
Gigabyte p35w v3	0x60	80	221	0
GPD G1617-01	0x7A	0	255	0
GPD Pocket 4	0x7A	1	244	0
GPD Win 2 (8100y)	0x34	33	79	0
HP 15-Bw00x(AMD)	0x11	19	53	0
HP 245 G7	0x71	7	14	0
HP 620	0xD6	20	90	0
HP Compaq 15-s103tx	0x11	19	53	0
Compaq 615	0xD6	14	99	0
Compaq 625	0xD6	14	99	0
HP Compaq 6530b	0xD6	0	100	0
HP Compaq 6735s	0xD7	20	100	0
HP Compaq 8710p (GC102EA#ABD)	0xD7	0	100	0
HP Compaq nw9440	0xD7	20	100	0
HP Compaq Presario CQ40	0xB0	41	79	0
HP EliteBook 2560p	0x2E	88	48	0
HP EliteBook 2570p	0x2E	88	48	0
HP EliteBook 2760p	0x2E	88	48	0
HP EliteBook 745 G5	0x2E	168	40	0
HP EliteBook 830 G6	0x2E	104	42	0
HP EliteBook 840 G2	0x2E	88	48	0
HP EliteBook 8470p	0x2E	88	48	0
HP EliteBook 850 G3	0x2E	88	40	0
HP EliteBook 850 G5	0x2E	255	40	0
HP EliteBook 8560p	0x2E	88	48	0
HP EliteBook 8560w	0x2E	100	50	0
HP EliteBook 8760w	0x2E	134	64	0
HP EliteBook Folio 1040 G1	0x2E	90	34	0
HP EliteBook Folio 9470m	0x2E	88	48	0
HP EliteBook Folio 9470m_i5-3427u_bios-F66	0x2E	60	37	0
HP ENVY dv6 Notebook PC	0x95	250	102	0
HP ENVY dv7 Notebook PC	0x95	250	102	0
HP ENVY m6 Notebook PC 1206dx	0x11	30	68	0
HP ENVY m6 Sleekbook	0x11	28	41	0
HP ENVY m6-1254eo Notebook PC	0x11	30	68	0
HP ENVY x360 15-w104ne	0x95	215	100	1
HP Envy X360 13-ag0xxx Ryzen-APU	0x95	175	70	1
HP ENVY x360 Convertible 15-bq1xx	0x95	255	89	1
HP ENVY x360 Convertible 15-cn0xxx	0x95	174	67	1
HP Laptop 14-cm0xxx	0x71	5	12	0
HP Laptop 14-dk0xxx	0x71	5	12	0
HP Laptop 15s-eq2xxx	0x2C	20	100	0
HP Laptop 15s-eq3xxx	0x2E	20	100	0
HP Laptop 15s-fq5xxx	0xB1	0	20	0
HP Laptop 15s-gr0xxx	0x11	20	59	0
HP Laptop 17-bs0xx	0x95	255	91	0
HP Laptop 17-by1xxx	0x71	7	17	0
HP Laptop 17-ca1xxx	0x80	0	7	0
HP Notebook 15-ac111tu	0x11	5	62	0
HP Notebook 15-ba010ng	0x11	5	62	0
HP Omen 15 dc-00xxxx	0x58	57	99	0
HP Omen 16 n0xxx	0x2E	0	100	0
HP OMEN Laptop 15-en0xxx	0x2E	0	100	0
HP OMEN 5001NG	0x95	255	58	0
HP Pavilion 14-v066br	0x00	50	100	0
HP Pavilion 17-ab240nd	0x58	20	70	0
HP Pavilion dk15	0x11	19	53	0
HP Pavilion dv6 6190 Notebook PC	0x6B	0	100	0
HP Pavilion dv6 Notebook PC	0xB1	9	23	0
HP Pavilion Gaming Laptop 15-dk0xxx	0x2D	38	90	0
HP Pavilion Gaming 15-ec0xxx	0x2D	38	90	0
HP Pavilion Gaming Laptop 15-ec1xxx	0x58	20	100	0
HP Pavilion Gaming 15 - ec2xxx	0x2F	0	100	0
HP Pavilion HDX18	0xB1	9	17	0
HP Pavilion x360 Convertible 14-dh1xxx	0x95	175	75	1
HP Pavilion x360 Convertible 15-br0xx	0x95	248	85	1
HP ProBook 430 G1	0x2E	88	48	0
HP ProBook 440 G3	0x2E	255	20	0
HP ProBook 450 G1	0x2E	88	48	0
HP ProBook 450 G1	0x2E	87	35	0
HP ProBook 4520s	0xD6	88	48	0
HP ProBook 4530s	0x2E	88	48	0
HP ProBook 4535s	0x2E	88	48	0
HP ProBook 4540s	0x2E	88	48	0
HP ProBook 4710s	0xD6	1	100	0
HP ProBook 4720s	0xD6	0	112	0
HP ProBook 5320m	0xD6	10	100	0
HP ProBook 5330m	0x2E	88	48	0
HP ProBook 640 G1	0x2E	129	46	0
HP ProBook 6455b	0xD7	30	100	0
HP ProBook 6460b	0x2E	88	48	0
HP ProBook 6465b	0x2E	88	48	0
HP ProBook 650 G1	0x2E	123	48	0
HP ProBook 650 G2	0x2E	123	48	0
HP ProBook 6550b	0xD7	30	100	0
HP ProBook 6460b	0x2E	88	48	0
HP Spectre x360 Convertible 13-ae0xx	0xF4	2	0	0
HP Spectre x360 14-ea0xxx - intel 11th	0xB3	0	32	0
HP Spectre x360 Convertible 15-ch0xx	0xB3	0	23	0
HP Spectre x360 Convertible 15-df1015ng	0x58	35	99	0
HP Spectre x360 Convertible 15t-df1xx	0xB3	11	21	0
HP Victus 15-fb0xxx	0xB3	0	21	0
HP Victus 16-e0175AX	0xB1	0	33	0
HP Victus 16-e0xxx	0xB3	0	32	0
HP ZBook 15 G3	0x2E	164	60	0
HP ZBook 15	0x2E	88	48	0
HP ZBook 17 G2	0x2E	87	35	0
HP ZBook Fury 15 G7	0x2E	225	0	0
HP ZBook Studio G3	0x2E	88	46	0
HP ZBook Studio x360 G5	0x2E	148	43	0
Lenovo 700-24AGR	0x50	10	251	0
Lenovo Ideapad 3 15IAU7	0xB0	0	90	0
Ideapad 500S-13ISK	0x06	0	44	0
Ideapad 500s-14ISK	0x95	255	116	0
LENOVO Ideapad 510s	0x06	22	41	0
Ideapad 710S Plus-13IKB	0x06	39	61	0
Ideapad 710S	0x95	255	72	0
Lenovo Ideapad U160	0x95	255	64	0
Lenovo u330p	0x92	768	257	1
Lenovo u430p	0x92	768	257	1
Lenovo IdeaPad Y580	0x06	0	35	0
Lenovi Thinkpad 13	0x85	0	22	0
1143AG2	0x95	175	100	0
36986CG	0x2F	0	7	0
LENOVO 20R4001CBR	0x95	255	0	0
Lenovo ThinkPad L380 Yoga	0x95	255	52	0
LENOVO 20NR001JRT	0x95	255	64	0
L530	0x95	175	75	0
Thinkpad L540	0x95	255	116	0
LENOVO 20W000Q4GE	0x2F	0	7	0
ThinkPad T430s- 2356LPG	0x2F	0	7	0
Lenovo T440s 20AQCTO1WW	0x4E	0	7	0
LENOVO 20N2CTO1WW	0x85	0	7	0
20BE0065GE	0x2F	0	7	0
Lenovo ThinkPad T580	0x85	0	7	0
LENOVO 20U9S19X00	0x2F	0	7	0
30515YG	0x2F	0	7	0
LENOVO 4290W1A	0x2F	0	7	0
ThinkPad x230	0x2F	0	7	0
U31-70	0x06	0	44	0
U41-70	0x95	255	116	0
V330-15IKB (81AX)	0x95	255	116	0
20147	0x95	255	100	0
Lenovo Yoga 11s (BIOS=77CN20WW)	0x56	0	80	0
2191	0xF3	255	1	0
20344	0xAB	0	8	0
80JH	0x06	0	80	0
Lenovo Yoga 500-15IBD	0x95	255	80	0
Lenovo Yoga 510-14 (80S7)	0x06	20	41	0
Lenovo Yoga 710 KabyLake	0x06	0	59	0
Lenovo Yoga 710	0x06	0	59	0
Lenovo Yoga Slim7	0x2F	0	7	0
MECHREVO Jiaolong Series GK5NR0O	0x3E	31	78	0
P6612	0x95	250	98	0
P6630	0x95	250	98	0
Bravo 17 C7VFKP	0x71	0	128	0
AOA110	0x55	1	0	0
AOA150	0x55	1	0	0
DOA150	0x55	1	0	0
DOTMA	0x55	1	0	0
DOTMU	0x55	1	0	0
DOTVR46	0x55	1	0	0
Easynote TJ65	0x95	255	102	0
ENBFT	0x55	1	0	0
Razer Blade 14 2017	0xC8	0	20	0
Timi TM1814	0x95	255	40	0
Sony Corporation VGN-CR392_W	0x5B	142	210	0
SVE1711C5E	0x95	255	102	0
SVE1713Y1E	0x95	255	102	0
SVF14N1C5E	0x5C	0	7	1
SVF14N1C5E	0x5C	0	7	1
SVF15N1C5E	0x5C	0	7	1
SVT1312M1ES	0x95	255	107	0
VPCF12S1E	0x4C	0	4	0
Tongfang / AIstone X6RP57TW (i9-14900HX + RTX 5070 Ti)	0x60	0	100	1
Toshiba Satellite L740 , Bios v2.60 , EC v2.50	0xC5	0	205	0
Toshiba Satellite L745 , Bios v2.60 , EC v2.50	0xC5	0	205	0
Vestel SmartBoard OPS Series	0xC5	0	205	0
Wortmann AG TERRA MOBILE 1771	0x71	40	100	0
Timi TM1613	0x95	255	40	0
